"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","test_faq_question_contains_expected_text[question_4_about_tomorrow_order]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","107","test_scooter_logo_redirects_to_main_page","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","133","test_faq_question_contains_expected_text[question_6_about_charging]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","22","test_header_order_button_redirects_to_order_page","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","34","test_main_page_elements_are_displayed","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","131","test_faq_question_contains_expected_text[question_2_about_multiple_scooters]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","137","test_faq_question_contains_expected_text[question_5_about_extending_order]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","105","test_main_order_button_redirects_to_order_page","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","133","test_faq_question_contains_expected_text[question_1_about_cost]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","1617","test_yandex_logo_opens_dzen_in_new_tab","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","132","test_faq_question_contains_expected_text[question_3_about_today_order]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","139","test_faq_question_contains_expected_text[question_8_about_delivery_radius]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","34","test_order_buttons_are_clickable","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
"","148","test_faq_question_contains_expected_text[question_7_about_cancellation]","tests","2025-09-13","passed","2025-09-13","TestMainPage","test_main_page","",""
